Status,Grad_Year,Age,Academic_Div,Origin,Gender,Orientation,Religious,Religious_2,Romantic,Hookups,Situationships,One_night,Open,Open_num,Grin_Romantic,Grin_Sexual,Long-Distance,Duration_long,Duration_short,Date-ability,First_date
IP Address,2026,19,STEM,Urban/Metropolitan City,Female,Homosexual,No,,2,0,0,1,no,0,2,1,0,18,1,2,Saints Rest
IP Address,2027,19,Humanities,Small town,Male,Heterosexual,No,,1,5,3,2,no,0,2,1,0,18,18,6,Saints Rest
IP Address,2026,19,STEM,Urban/Metropolitan City,Female,Heterosexual,No,,3,5,2,0,no,0,0,4,0,80,1,8,Arbor Lake
IP Address,2024,22,"Humanities,STEM",Suburban,Female,Bisexual,No,,1,6,1,2,no,0,0,4,1,35,35,6,Saints Rest
IP Address,2025,20,"Humanities,STEM",Suburban,Male,Bisexual,No,,1,1,0,0,yes,0,1,1,0,5,5,6,Saints Rest
IP Address,2025,20,STEM,Urban/Metropolitan City,Male,Heterosexual,No,,4,3,3,1,no,0,1,3,1,79,5,7,Golf Course picnic
IP Address,2026,23,STEM,Urban/Metropolitan City,Female,Heterosexual,No,,0,0,0,0,no,0,0,0,0,14,1,1,Saints Rest
IP Address,2026,20,STEM,Suburban,Male,Heterosexual,No,,2,7,7,6,no,0,0,3,0,0,0,10,Saints Rest
,2024,19,Unsure / Not declared,Urban/Metropolitan City,Female,Heterosexual,Yes,Yes,1,1,0,0,no,0,0,0,0,209,209,5,Arbor Lake
,2026,20,STEM,Suburban,Female,Heterosexual,Yes,Yes,4,11,7,5,no,0,3,9,0,105,4,8,Saints Rest
,2026,20,STEM,Suburban,Male,Heterosexual,No,,1,0,0,0,no,0,1,0,0,83,83,5,Saints Rest
,2027,18,"STEM,Unsure / Not declared",Small town,Male,Asexual,No,,0,0,0,0,no,0,0,0,0,0,0,10,Arbor Lake
,2026,20,STEM,Suburban,Female,Heterosexual,No,,1,0,0,0,no,0,0,0,1,113,113,7,Arbor Lake
,2025,20,STEM,Suburban,Female,Bisexual,No,,2,1,1,0,no,0,4,4,0,13,5,2,Saints Rest
,2027,19,"Humanities,STEM",Suburban,Male,Heterosexual,No,,2,0,1,0,no,0,1,0,0,105,13,6,Prairie Canary
,2024,21,"Humanities,Social Studies",Suburban,Female,Heterosexual,No,,1,0,0,0,no,0,1,1,0,52,13,7,Arbor Lake
,2026,20,STEM,Suburban,Female,Bisexual,No,,0,0,2,7,no,0,0,7,0,0,0,5,Golf Course picnic
,2026,20,"Social Studies,STEM",Urban/Metropolitan City,Female,Heterosexual,No,,1,4,3,1,yes,0,1,3,0,9,9,5,Saints Rest
,2025,21,Social Studies,Suburban,Female,Bisexual,Yes,Yes,4,0,0,1,no,0,0,0,4,35,5,8,Saints Rest
,2025,20,"Humanities,Social Studies,STEM",Urban/Metropolitan City,Female,Heterosexual,No,,0,0,0,0,no,0,0,5,0,0,0,3,Golf Course picnic
,2024,22,"Humanities,Social Studies,STEM",Suburban,Male,Heterosexual,No,,2,6,3,0,no,0,2,6,6,13,3,4,Prairie Canary
,2025,21,STEM,Urban/Metropolitan City,Male,Bisexual,Yes,Yes,5,3,3,10,no,0,0,10,2,52,13,6,Saints Rest
,2027,19,"Social Studies,STEM",Suburban,Male,Heterosexual,No,,1,1,0,0,no,0,0,1,0,13,2,4,Prairie Canary
,2026,19,STEM,Suburban,Male,Heterosexual,No,,0,0,0,0,no,0,0,0,0,0,0,N/A,N/A
,2026,20,STEM,Urban/Metropolitan City,Male,Heterosexual,No,,3,0,0,0,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,2026,20,"Humanities,STEM",Small town,Female,Heterosexual,Yes,Yes,3,0,2,0,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,2026,19,STEM,Small town,Female,Heterosexual,Yes,Yes,1,0,0,0,no,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
,2027,19,"Social Studies,STEM",Urban/Metropolitan City,Female,Bisexual,No,,1,0,1,0,no,0,1,1,0,N/A,N/A,N/A,N/A
,2027,20,STEM,Urban/Metropolitan City,Female,Heterosexual,Yes,Yes,1,0,2,0,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
